purchase_date,time_to_go,takeoff_date,price,day_of_week,month,unsold_tickets,number_of_quotes
2015/4/1,240,2015/5/1,1144,5,5,2000,400
2015/4/1,239,2015/5/1,1208,5,5,1992,398
2015/4/1,238,2015/5/1,1416,5,5,1986,397
2015/4/1,237,2015/5/1,1323,5,5,1976,395
2015/4/1,236,2015/5/1,1099,5,5,1974,394
2015/4/1,235,2015/5/1,1356,5,5,1970,394
2015/4/1,234,2015/5/1,1305,5,5,1965,393
2015/4/1,233,2015/5/1,1431,5,5,1961,392
2015/4/2,232,2015/5/1,1231,5,5,1952,390
2015/4/2,231,2015/5/1,1071,5,5,1950,390
2015/4/2,230,2015/5/1,1319,5,5,1945,389
2015/4/2,229,2015/5/1,1156,5,5,1937,387
2015/4/2,228,2015/5/1,1339,5,5,1930,386
2015/4/2,227,2015/5/1,1084,5,5,1916,383
2015/4/2,226,2015/5/1,1238,5,5,1912,382
2015/4/2,225,2015/5/1,1470,5,5,1902,380
2015/4/3,224,2015/5/1,1475,5,5,1894,378
2015/4/3,223,2015/5/1,1228,5,5,1880,376
2015/4/3,222,2015/5/1,1358,5,5,1875,375
2015/4/3,221,2015/5/1,1212,5,5,1868,373
2015/4/3,220,2015/5/1,1093,5,5,1859,371
2015/4/3,219,2015/5/1,1144,5,5,1853,370
2015/4/3,218,2015/5/1,1497,5,5,1852,370
2015/4/3,217,2015/5/1,1217,5,5,1838,367
2015/4/4,216,2015/5/1,1381,5,5,1824,364
2015/4/4,215,2015/5/1,1349,5,5,1815,363
2015/4/4,214,2015/5/1,1239,5,5,1809,361
2015/4/4,213,2015/5/1,1471,5,5,1805,361
2015/4/4,212,2015/5/1,1039,5,5,1794,358
2015/4/4,211,2015/5/1,1157,5,5,1788,357
2015/4/4,210,2015/5/1,1495,5,5,1778,355
2015/4/5,209,2015/5/1,1063,5,5,1774,354
2015/4/5,208,2015/5/1,1104,5,5,1768,353
2015/4/5,207,2015/5/1,1359,5,5,1764,352
2015/4/5,206,2015/5/1,1473,5,5,1761,352
2015/4/5,205,2015/5/1,1139,5,5,1759,351
2015/4/5,204,2015/5/1,1358,5,5,1754,350
2015/4/5,203,2015/5/1,1084,5,5,1744,348
2015/4/5,202,2015/5/1,1355,5,5,1735,347
2015/4/6,201,2015/5/1,1438,5,5,1729,345
2015/4/6,200,2015/5/1,1461,5,5,1726,345
2015/4/6,199,2015/5/1,1459,5,5,1717,343
2015/4/6,198,2015/5/1,1483,5,5,1706,341
2015/4/6,197,2015/5/1,1338,5,5,1696,339
2015/4/6,196,2015/5/1,1370,5,5,1695,339
2015/4/6,195,2015/5/1,1377,5,5,1692,338
2015/4/6,194,2015/5/1,1112,5,5,1688,337
2015/4/7,193,2015/5/1,1037,5,5,1678,335
2015/4/7,192,2015/5/1,1142,5,5,1666,333
2015/4/7,191,2015/5/1,1178,5,5,1661,332
2015/4/7,190,2015/5/1,1259,5,5,1652,330
2015/4/7,189,2015/5/1,1067,5,5,1646,329
2015/4/7,188,2015/5/1,1215,5,5,1634,326
2015/4/7,187,2015/5/1,1043,5,5,1630,326
2015/4/7,186,2015/5/1,1308,5,5,1619,323
2015/4/8,185,2015/5/1,1173,5,5,1618,323
2015/4/8,184,2015/5/1,1431,5,5,1605,321
2015/4/8,183,2015/5/1,1446,5,5,1595,319
2015/4/8,182,2015/5/1,1337,5,5,1588,317
2015/4/8,181,2015/5/1,1185,5,5,1587,317
2015/4/8,180,2015/5/1,1418,5,5,1574,314
2015/4/8,179,2015/5/1,1456,5,5,1570,314
2015/4/9,178,2015/5/1,1431,5,5,1564,312
2015/4/9,177,2015/5/1,1471,5,5,1561,312
2015/4/9,176,2015/5/1,1185,5,5,1551,310
2015/4/9,175,2015/5/1,1339,5,5,1542,308
2015/4/9,174,2015/5/1,1066,5,5,1539,307
2015/4/9,173,2015/5/1,1311,5,5,1525,305
2015/4/9,172,2015/5/1,1361,5,5,1512,302
2015/4/9,171,2015/5/1,1471,5,5,1505,301
2015/4/10,170,2015/5/1,1404,5,5,1493,298
2015/4/10,169,2015/5/1,1426,5,5,1487,297
2015/4/10,168,2015/5/1,1018,5,5,1473,294
2015/4/10,167,2015/5/1,1195,5,5,1464,292
2015/4/10,166,2015/5/1,1164,5,5,1455,291
2015/4/10,165,2015/5/1,1288,5,5,1448,289
2015/4/10,164,2015/5/1,1447,5,5,1444,288
2015/4/10,163,2015/5/1,1316,5,5,1441,288
2015/4/11,162,2015/5/1,1353,5,5,1435,287
2015/4/11,161,2015/5/1,1360,5,5,1425,285
2015/4/11,160,2015/5/1,1314,5,5,1411,282
2015/4/11,159,2015/5/1,1294,5,5,1406,281
2015/4/11,158,2015/5/1,1202,5,5,1401,280
2015/4/11,157,2015/5/1,1397,5,5,1389,277
2015/4/11,156,2015/5/1,1214,5,5,1377,275
2015/4/11,155,2015/5/1,1255,5,5,1367,273
2015/4/12,154,2015/5/1,1147,5,5,1366,273
2015/4/12,153,2015/5/1,1003,5,5,1358,271
2015/4/12,152,2015/5/1,1456,5,5,1357,271
2015/4/12,151,2015/5/1,1397,5,5,1345,269
2015/4/12,150,2015/5/1,1381,5,5,1341,268
2015/4/12,149,2015/5/1,1406,5,5,1334,266
2015/4/12,148,2015/5/1,1199,5,5,1324,264
2015/4/13,147,2015/5/1,1211,5,5,1320,264
2015/4/13,146,2015/5/1,1110,5,5,1310,262
2015/4/13,145,2015/5/1,1273,5,5,1303,260
2015/4/13,144,2015/5/1,1417,5,5,1301,260
2015/4/13,143,2015/5/1,1395,5,5,1294,258
2015/4/13,142,2015/5/1,1135,5,5,1291,258
2015/4/13,141,2015/5/1,1259,5,5,1289,257
2015/4/13,140,2015/5/1,1194,5,5,1276,255
2015/4/14,139,2015/5/1,1140,5,5,1267,253
2015/4/14,138,2015/5/1,1085,5,5,1263,252
2015/4/14,137,2015/5/1,1032,5,5,1252,250
2015/4/14,136,2015/5/1,1255,5,5,1251,250
2015/4/14,135,2015/5/1,1074,5,5,1249,249
2015/4/14,134,2015/5/1,1196,5,5,1239,247
2015/4/14,133,2015/5/1,1199,5,5,1232,246
2015/4/14,132,2015/5/1,1042,5,5,1227,245
2015/4/15,131,2015/5/1,1297,5,5,1215,243
2015/4/15,130,2015/5/1,1238,5,5,1212,242
2015/4/15,129,2015/5/1,1272,5,5,1204,240
2015/4/15,128,2015/5/1,1280,5,5,1197,239
2015/4/15,127,2015/5/1,1016,5,5,1189,237
2015/4/15,126,2015/5/1,1378,5,5,1185,237
2015/4/15,125,2015/5/1,1090,5,5,1184,236
2015/4/15,124,2015/5/1,1467,5,5,1173,234
2015/4/16,123,2015/5/1,1185,5,5,1170,234
2015/4/16,122,2015/5/1,1496,5,5,1164,232
2015/4/16,121,2015/5/1,1488,5,5,1151,230
2015/4/16,120,2015/5/1,1180,5,5,1149,229
2015/4/16,119,2015/5/1,1357,5,5,1142,228
